Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1635683293,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1635683294,1,,Aggregated,0.000000,0.000000,810,810,810,810,810,810,810,810,810,810,810,1,0,814.385913,814.385913,814.385913,814.385913,12500001.0
1635683295,2,,Aggregated,0.000000,0.000000,390,390,400,400,810,810,810,810,810,810,810,6,0,390.0,442.57157966666676,304.42520300000007,814.385913,12500001.0
1635683296,3,,Aggregated,0.000000,0.000000,410,420,430,430,460,810,810,810,810,810,810,12,0,410.0,433.68650808333336,304.42520300000007,814.385913,12500001.0
1635683297,4,,Aggregated,1.000000,0.000000,430,460,550,550,570,810,810,810,810,810,810,19,0,430.0,466.0525610526315,304.42520300000007,814.385913,12500001.0
1635683298,5,,Aggregated,2.666667,0.000000,510,570,630,670,750,750,810,810,810,810,810,26,0,460.0,526.6535853076922,304.42520300000007,814.385913,12500001.0
1635683299,6,,Aggregated,3.500000,0.000000,560,710,750,750,810,830,830,830,830,830,830,33,0,560.0,582.1886959393938,304.42520300000007,829.738904,12500001.0
1635683300,7,,Aggregated,4.200000,0.000000,630,750,810,830,970,1000,1000,1000,1000,1000,1000,39,0,630.0,641.0339064615383,304.42520300000007,1017.8817660000003,12500001.0
1635683301,8,,Aggregated,4.500000,0.000000,710,810,870,990,1100,1100,1100,1100,1100,1100,1100,45,0,710.0,699.0794678444444,304.42520300000007,1133.3509909999996,12500001.0
1635683302,9,,Aggregated,4.857143,0.000000,750,870,1000,1100,1200,1200,1200,1200,1200,1200,1200,51,0,750.0,756.7475854901961,304.42520300000007,1225.2282549999993,12500001.0
1635683303,10,,Aggregated,5.000000,0.000000,810,1000,1100,1200,1200,1300,1300,1300,1300,1300,1300,58,0,810.0,820.2761381379312,304.42520300000007,1330.128815,12500001.0
1635683304,11,,Aggregated,5.333333,0.000000,870,1100,1200,1200,1400,1400,1500,1500,1500,1500,1500,66,0,830.0,895.3938456818182,304.42520300000007,1532.8862460000003,12500001.0
1635683305,12,,Aggregated,5.400000,0.000000,970,1200,1300,1300,1500,1600,1600,1600,1600,1600,1600,71,0,970.0,943.3336561267604,304.42520300000007,1626.2840569999994,12500001.0
1635683306,13,,Aggregated,6.000000,0.000000,1000,1200,1400,1500,1700,1700,1800,1800,1800,1800,1800,79,0,1000.0,1024.5589223544303,304.42520300000007,1820.0562330000007,12500001.0
1635683307,14,,Aggregated,6.500000,0.000000,1100,1300,1400,1500,1700,1800,2000,2000,2000,2000,2000,82,0,1100.0,1060.462309292683,304.42520300000007,2014.4953309999992,12500001.0
1635683308,15,,Aggregated,6.500000,0.000000,1200,1400,1600,1700,2000,2100,2200,2200,2200,2200,2200,90,0,1100.0,1157.5285022222222,304.42520300000007,2196.396813,12500001.0
1635683309,16,,Aggregated,6.500000,0.000000,1200,1400,1600,1700,2100,2200,2200,2200,2200,2200,2200,93,0,1200.0,1191.7995079247312,304.42520300000007,2233.4306109999993,12500001.0
1635683310,17,,Aggregated,6.500000,0.000000,1200,1500,1700,1800,2200,2600,3000,3000,3000,3000,3000,98,0,1200.0,1274.8898637857144,304.42520300000007,2991.066429,12500001.0
1635683311,18,,Aggregated,6.600000,0.000000,1200,1600,1800,2100,2600,3000,3100,3200,3200,3200,3200,104,0,1200.0,1380.3085455096154,304.42520300000007,3221.1660549999992,12500001.0
1635683312,19,,Aggregated,6.000000,0.000000,1300,1700,2000,2200,3000,3200,3300,3400,3400,3400,3400,109,0,1300.0,1470.584232082569,304.42520300000007,3434.912306000001,12500001.0
1635683313,20,,Aggregated,6.000000,0.000000,1300,1700,2100,2200,3000,3300,3400,3400,3500,3500,3500,111,0,1300.0,1506.2742881081085,304.42520300000007,3531.679466,12500001.0
1635683314,21,,Aggregated,6.000000,0.000000,1300,1700,2100,2200,3100,3400,3500,3700,3700,3700,3700,113,0,1300.0,1545.5603635840712,304.42520300000007,3748.310113999999,12500001.0
1635683315,22,,Aggregated,5.500000,0.000000,1400,1800,2200,2700,3300,3700,4400,4500,4700,4700,4700,118,0,1300.0,1669.6052283135596,304.42520300000007,4714.009886,12500001.0
1635683316,23,,Aggregated,5.300000,0.000000,1400,1800,2200,2800,3400,4300,4500,4700,5200,5200,5200,119,0,1400.0,1699.1348453025212,304.42520300000007,5183.629650000001,12500001.0
